"city","table_name","year","type","total_vote","AKP","MHP","CHP","kurdish_base","independent","others","CrimeNum","InfMortPct","DivorceNum","BirthNum","marriageNum","CrudeDivorceRate_K","CrudeMarriageRate_K","CrudeDeathRate_K","literacyrate","SecEduRateFem","SecEduRateNetPct","ElecCons_pc","BldgCountOccupPermit","FlatCountOccupPermit","SurfaceAreaOccupPermit","BldgCountPermit","SurfaceAreaPermit","NumPubLibraries","LibraryUsers","LibraryBooks","NumMovieTheaters","NumCinemaAudience","NumTheaterHalls","NumTheaterAudience","pop","popdensity","PopGrowthRate","NetMigrationRate","AvgHHSize","AgeDepRatio","ElderDepRatio","ChildDepPct","numdr_pk","hospitalbed_pk","NumHospital","NumHostBed","Enterpreneurs","CropProdKTL","AnimalProdKTL","LivestockV_kTL","CerealsProd_tons","LCattle_head","SCattle_head","agricultural_field","numautomobile_pk","GDPpc_dollar","plaka","duzey_kod","general","alchocol_tabocco","education","unemp","gov_exp","share_exp","mosques","mosque_percentage","log_mosques","lag_AKP","gdp_growth","winner_party","akp_wins","nationalgdp","nationalgdpgrowthrate","nationalunemp","nationalinf"
"adana","genel_secim_2002_il",2002,"genel",856469,26.82,11.41,21.3,9.26,0.13,31.21,2904,NA,2926,35442,13709,1.53,7.19,NA,NA,NA,NA,NA,407,1812,417151,261,253854,16,407651,156469,18,215000,4,54454,1916637,NA,NA,NA,NA,NA,NA,NA,1,226,19,4338,NA,1267826,173126,137205,1966220,143155,429770,551656,NA,4257,1,"TR62",NA,NA,NA,14.9,1252717,0.89,NA,NA,NA,NA,NA,"AKP",1,16.1,6.16,10.3,45
"adana","genel_secim_2007_il",2007,"genel",916591,36.89,22.91,22.83,5,5,12.37,3123,NA,2862,39821,17855,1.43,8.94,NA,90.97,58.03,59.35,2061,1523,725,1594833,3.209,2531234,17,424467,209911,25,341113,5,128432,2006650,144.21,9.82,-6.31,NA,50.45,8.48,41.97,1,259,21,5201,NA,2349666,322255,341318,2628561,158944,352672,503405,82,6860,1,"TR62",10.09,10.34,6.14,15.7,1779441,0.87,1150,5.73094460917449,7.04838640872188,26.82,61.1463471928588,"AKP",1,22.1,4.67,10.3,8.8
"adana","yerel_secim_2009_il",2009,"yerel",943639,29.72,26.89,24.63,9.06,NA,9.7,2406,15,3546,37699,17921,1.73,8.77,18.4,91.55,63.55,65.65,1879,1782,9654,1950511,3.308,2720719,17,405801,223047,27,617750,6,168661,2062226,148.2,17.57,-0.21,4.2,49.21,8.23,40.98,2,259,25,5339,80500,2587225,450755,480530,2468335,179508,309761,506801,88,6476,1,"TR62",7.09,13,6.02,22,2395716,0.89,1265,6.1341482456336,7.14361760270412,36.89,-5.59766763848396,"AKP",1,-17.9,-4.83,14,6.3
"adana","genel_secim_2011_il",2011,"genel",1171911,37.4,20.32,30.85,7.95,7.95,3.48,2748,13.3,3841,36886,17242,1.83,8.22,17.6,94.05,67.34,68.03,2274,2117,9251,2031709,3.005,2771033,17,392979,254218,24,847310,10,153416,2108805,151.55,11.24,-5.62,4.06,48.69,8.81,39.88,2,292,26,6148,82753,3248646,327883,1031209,2528939,224129,457223,435794,102,8064,1,"TR62",6.85,4.44,4.75,10.7,3285564,1.04,1265,5.99865800773424,7.14361760270412,29.72,24.521309450278,"AKP",1,6.2,8.77,9.8,6.5
"adana","yerel_secim_2014_il",2014,"yerel",1231192,30.48,29.61,27.16,0,NA,12.75,7084,13.2,4109,39953,17570,1.9,8.14,18.5,95.65,79.14,80.48,2622,2924,12906,2975347,2.859,4235398,19,413524,275516,30,1459378,10,123465,2165595,155.63,7.57,-5.35,3.87,48.61,9.95,38.66,2,296,30,6400,84127,3661380,452032,893886,2659569,199165,710402,430698,123,8624,1,"TR62",7.85,3.94,7.37,10.7,4535502,1.01,1417,6.54323638538138,7.25700270709207,37.4,6.94444444444444,"AKP",1,-3.2,3.02,9.9,8.9
"adana","genel_secim_haziran_2015_il",2015,"genel",1258204,30.38,23.08,28.55,14.58,NA,3.41000000000001,7032,10,4329,39467,17281,1.99,7.95,18.2,95.7,78.55,78.67,2660,2241,8171,1961448,2.475,4660339,21,441262,298569,37,1567552,14,157573,2183167,156.89,8.08,-5.27,3.82,48.72,10.47,38.25,2,297,29,6486,84659,4152159,496952,1106116,2799908,210673,659707,421460,131,7921,1,"TR62",7.56,4.62,7.23,9.8,5246582,1.04,1429,6.54553682792017,7.26542972325395,30.48,-8.15166975881262,"AKP",1,-9,3.97,10.3,7.7
"adana","genel_secim_kasim_2015_il",2015,"genel",1290389,37.3,19.3,29.4,11.9,NA,2.09999999999999,7032,10,4329,39467,17281,1.99,7.95,18.2,95.7,78.55,78.67,2660,2241,8171,1961448,2.475,4660339,21,441262,298569,37,1567552,14,157573,2183167,156.89,8.08,-5.27,3.82,48.72,10.47,38.25,2,297,29,6486,84659,4152159,496952,1106116,2799908,210673,659707,421460,131,7921,1,"TR62",7.56,4.62,7.23,9.8,5246582,1.04,1429,6.54553682792017,7.26542972325395,30.38,0,"AKP",1,-9,3.97,10.3,7.7
"adana","genel_secim_2018_il",2018,"genel",1329187,34.7,11.76,26.06,13.52,NA,13.96,10359,8.3,4432,35387,15816,2,7.13,16,96.48,83.08,83.59,3108,2079,14349,2795924,1.655,2659866,22,486513,352145,39,1510078,19,201704,2220125,159.55,1.65,-8.51,3.7,49.6,11.78,37.82,2,317,32,7033,89834,6755182,702837,2294017,2700383,265430,807900,411390,149,6731,1,"TR62",17.3,1.48,12.51,11.2,8889082,1.07,1459,6.57170204380384,7.28619171470238,37.3,-15.0233556369145,"AKP",1,-8.4,3,11,16.3
"adana","yerel_secim_2019_il",2019,"yerel",1228920,26.03,17.75,44.3,0.13,NA,11.79,10189,8.6,4951,33360,15139,2.22,6.79,15,96.78,83.4,83.57,3101,1571,1425,2961110,1.046,1526894,22,485859,359807,44,1252022,17,247151,2237940,160.83,7.99,-3.84,3.64,50,12.47,37.53,2,319,32,7137,91911,8008703,850505,2242925,2537707,259684,833027,398199,149,6483,1,"TR62",16.67,24.18,15.58,11.9,10346956,1.03,1469,6.56407231650536,7.29301767977278,34.7,-3.68444510473927,"CHP",0,-6,0.9,13.7,15.2
"adana","genel_secim_2023_il",2023,"genel",1378331,29.96,10.87,28.49,9.7,NA,20.98,NA,11.3,4719,26968,15330,2.08,6.75,11.9,97.18,NA,NA,NA,1148,8475,1564057,2.905,2449149,NA,NA,NA,NA,NA,16,119363,2270298,163.15,-1.68,-5.18,3.32,48.8,14.25,34.55,NA,NA,NA,NA,NA,NA,NA,NA,2718011,248047,944939,396222,177,NA,1,"TR62",NA,NA,NA,10.9,51360137.20845,0.78,1490,6.56301507555396,7.30720231476474,26.03,NA,"AKP",1,24.2,4.5,9.4,53.9
"adiyaman","genel_secim_2002_il",2002,"genel",214473,41.42,4.77,13.39,11.96,0.01,28.46,541,NA,552,14438,4928,0.96,8.61,NA,NA,NA,NA,NA,39,124,31156,120,133384,15,458496,75077,2,3200,0,0,573149,NA,NA,NA,NA,NA,NA,NA,1,124,7,710,NA,242373,52336,83374,425328,72934,370185,247033,NA,2453,2,"TRC1",NA,NA,NA,15.1,263976,0.19,NA,NA,NA,NA,NA,"AKP",1,16.1,6.16,10.3,45
"adiyaman","genel_secim_2007_il",2007,"genel",244571,65.31,5.24,13.95,8,8,7.5,300,NA,419,12942,7023,0.72,12.07,NA,85.24,44.18,48.75,1429,313,1816,383152,316,396574,12,317904,82126,2,12500,0,0,582762,82.86,3.95,-14.96,NA,64.97,9.64,55.34,1,126,8,733,NA,396525,84398,127871,578504,58035,225474,240870,37,4028,2,"TRC1",9.83,10.6,4.68,18,518673,0.25,668,11.4626554236549,6.50578406012823,41.42,64.2070933550754,"AKP",1,22.1,4.67,10.3,8.8
"adiyaman","yerel_secim_2009_il",2009,"yerel",186895,44.18,5.64,18.13,3.8,NA,28.25,169,17.3,504,13415,6042,0.86,10.3,22.9,86.81,53.13,57.26,1420,642,1713,412384,454,664677,12,221256,90956,1,2500,0,0,588475,83.67,5.81,-10.49,5.3,61.76,9.29,52.48,1,126,8,741,17704,421896,102158,159446,592728,57466,172991,220657,44,3813,2,"TRC1",7.58,14.66,6.44,17.2,760962,0.28,701,11.9121458005863,6.55393340402581,65.31,-5.33763654419067,"AKP",1,-17.9,-4.83,14,6.3
"adiyaman","genel_secim_2011_il",2011,"genel",306062,67.3,4.61,16.59,6.56,6.56,4.94,264,14.5,422,13404,5867,0.71,9.9,22.6,90.1,59.42,61.7,1547,360,259,555023,230,354150,12,259398,98860,3,17387,2,4294,593931,84.45,5.06,-16.81,5.08,59.68,9.73,49.95,1,93,10,552,18740,759640,69035,250891,679674,57400,198260,201089,53,5210,2,"TRC1",7.55,3.8,4.39,14.4,902455,0.29,707,11.9037396599942,6.56244409369372,44.18,36.6378179910831,"AKP",1,6.2,8.77,9.8,6.5
"adiyaman","yerel_secim_2014_il",2014,"yerel",215327,50.84,9.39,18.67,5.99,NA,15.11,574,12.1,489,13681,5961,0.82,9.98,22.9,92.51,77.67,76.9,2021,468,3058,695854,594,932427,12,303827,126574,4,15854,1,1506,597835,85,1.09,-12.88,4.57,58.51,10.86,47.65,1,184,11,1103,18784,890375,130367,377853,669446,80860,305583,197772,67,5429,2,"TRC1",9.12,3.86,11.9,8,1326498,0.3,744,12.4449053668654,6.61338421837956,67.3,4.20345489443378,"AKP",1,-3.2,3.02,9.9,8.9
"adiyaman","genel_secim_haziran_2015_il",2015,"genel",313638,58,4.34,11.49,22.63,NA,3.54000000000001,533,11.2,587,13413,5580,0.98,9.3,22.3,92.57,80.26,78.58,1829,343,2945,616451,611,1156821,12,267771,137680,5,17732,1,200,602774,85.71,8.23,-9.15,4.45,58.45,11.29,47.16,1,189,12,1139,19321,1034722,155121,412745,707703,81288,310367,195375,70,4946,2,"TRC1",8.19,4.4,8.22,9.9,1510920,0.3,759,12.5917839853743,6.63331843328038,50.84,-8.89666605268005,"AKP",1,-9,3.97,10.3,7.7
"adiyaman","genel_secim_kasim_2015_il",2015,"genel",328724,69.1,3.1,11.4,14.3,NA,2.10000000000001,533,11.2,587,13413,5580,0.98,9.3,22.3,92.57,80.26,78.58,1829,343,2945,616451,611,1156821,12,267771,137680,5,17732,1,200,602774,85.71,8.23,-9.15,4.45,58.45,11.29,47.16,1,189,12,1139,19321,1034722,155121,412745,707703,81288,310367,195375,70,4946,2,"TRC1",8.19,4.4,8.22,9.9,1510920,0.3,759,12.5917839853743,6.63331843328038,58,0,"AKP",1,-9,3.97,10.3,7.7
"adiyaman","genel_secim_2018_il",2018,"genel",346800,55.1,9.15,12.05,15.41,NA,8.29000000000001,1104,10.7,542,12566,5152,0.87,8.31,20.3,93.84,83.66,82.9,1824,471,3708,783021,581,1110542,12,319219,172920,11,142419,4,6580,624513,88.8,15.23,-1.38,4.24,58.32,11.98,46.34,1,209,12,1304,21487,2057911,316310,855119,596812,129194,343577,182348,78,4226,2,"TRC1",17.05,0.69,7.37,12.8,2472901,0.3,777,12.4416945684077,6.65672652417839,69.1,-14.5572179539021,"AKP",1,-8.4,3,11,16.3
"adiyaman","yerel_secim_2019_il",2019,"yerel",232720,48.71,6.06,8.41,0.66,NA,36.16,1251,11.4,623,11915,4923,1,7.87,19,94.35,84.73,84.42,1882,424,4001,802850,292,470044,12,385468,173746,8,120926,2,2030,626465,89.08,3.12,-11.43,4.16,58.43,12.4,46.03,1,216,12,1351,22480,1437140,424009,1142688,552587,147606,369938,176880,79,4024,2,"TRC1",15.73,24.17,15.1,15.2,2767476,0.28,780,12.4508152889627,6.66057514983969,55.1,-4.77993374349266,"AKP",1,-6,0.9,13.7,15.2
"adiyaman","genel_secim_2023_il",2023,"genel",314939,52.09,4.04,18.54,12.07,NA,13.26,NA,23,629,8592,3561,1.01,5.74,13.9,95.21,NA,NA,NA,106,706,140122,306,194600,NA,NA,NA,NA,NA,0,0,604978,86.02,-48.7,-40.61,3.66,55.93,13.46,42.47,NA,NA,NA,NA,NA,NA,NA,NA,680987,107175,301297,164562,98,NA,2,"TRC1",NA,NA,NA,10.2,14476340.18998,0.22,787,13.0087375078102,6.66949808985788,48.71,NA,"AKP",1,24.2,4.5,9.4,53.9
"afyonkarahisar","genel_secim_2002_il",2002,"genel",350698,42.63,14.02,12.4,1.08,0.01,29.87,1311,NA,1377,11463,6372,1.97,9.12,NA,NA,NA,NA,NA,728,1716,305760,1.498,536497,36,593602,243513,1,17445,0,0,698773,NA,NA,NA,NA,NA,NA,NA,1,229,19,1603,NA,459743,281780,241864,2298157,251054,699633,566767,NA,3886,3,"TR33",NA,NA,NA,7.6,373085,0.26,NA,NA,NA,NA,NA,"AKP",1,16.1,6.16,10.3,45
